age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit,Risk_Status
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5.0,may,76.0,1.0,-1.0,0.0,unknown,no,High Risk
28,management,single,tertiary,no,447,yes,yes,unknown,5.0,may,217.0,1.0,-1.0,0.0,unknown,no,High Risk
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5.0,may,380.0,1.0,-1.0,0.0,unknown,no,High Risk
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5.0,may,262.0,1.0,-1.0,0.0,unknown,no,High Risk
32,blue-collar,single,primary,no,23,yes,yes,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,no,High Risk
40,retired,married,primary,no,0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,no,High Risk
44,admin.,married,secondary,no,-372,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,no,High Risk
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5.0,may,127.0,1.0,-1.0,0.0,unknown,no,High Risk
46,management,single,secondary,no,-246,yes,no,unknown,5.0,may,255.0,2.0,-1.0,0.0,unknown,no,High Risk
36,technician,single,secondary,no,265,yes,yes,unknown,5.0,may,348.0,1.0,-1.0,0.0,unknown,no,High Risk
57,technician,married,secondary,no,839,no,yes,unknown,5.0,may,225.0,1.0,-1.0,0.0,unknown,no,High Risk
60,admin.,married,secondary,no,39,yes,yes,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown,no,High Risk
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5.0,may,365.0,1.0,-1.0,0.0,unknown,no,High Risk
53,technician,married,secondary,no,-3,no,no,unknown,5.0,may,1666.0,1.0,-1.0,0.0,unknown,no,High Risk
36,admin.,single,primary,no,-171,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown,no,High Risk
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5.0,may,355.0,1.0,-1.0,0.0,unknown,no,High Risk
48,management,divorced,tertiary,no,-244,yes,no,unknown,5.0,may,253.0,1.0,-1.0,0.0,unknown,no,High Risk
42,admin.,single,secondary,no,-76,yes,no,unknown,5.0,may,787.0,1.0,-1.0,0.0,unknown,no,High Risk
24,technician,single,secondary,no,-103,yes,yes,unknown,5.0,may,145.0,1.0,-1.0,0.0,unknown,no,High Risk
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown,no,High Risk
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown,no,High Risk
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5.0,may,258.0,1.0,-1.0,0.0,unknown,no,High Risk
31,services,married,secondary,no,25,yes,yes,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,no,High Risk
54,management,married,secondary,no,282,yes,yes,unknown,5.0,may,154.0,1.0,-1.0,0.0,unknown,no,High Risk
44,blue-collar,married,secondary,no,582,no,yes,unknown,5.0,may,211.0,1.0,-1.0,0.0,unknown,no,High Risk
49,services,divorced,secondary,no,0,yes,yes,unknown,5.0,may,272.0,1.0,-1.0,0.0,unknown,no,High Risk
55,services,divorced,secondary,yes,1,yes,no,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown,no,High Risk
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5.0,may,246.0,1.0,-1.0,0.0,unknown,no,High Risk
